gtm,year,r_cum,h_cum,2b_cum,bb_cum,so_cum,hr_cum
1,2025,5,6,0,3,13,2
2,2025,6,14,0,5,20,2
3,2025,9,21,2,11,31,3
4,2025,11,26,5,16,42,3
5,2025,16,34,6,20,55,3
6,2025,19,44,9,23,64,4
7,2025,27,55,11,25,75,7
8,2025,40,71,15,33,78,9
9,2025,45,79,16,41,91,10
10,2025,63,100,24,45,96,11
11,2025,65,105,26,49,100,11
12,2025,66,113,27,50,112,11
13,2025,67,117,29,51,126,11
14,2025,71,125,29,55,136,11
15,2025,72,132,32,57,147,11
16,2025,74,139,32,63,158,11
17,2025,77,148,33,65,165,12
18,2025,78,154,33,65,179,13
19,2025,85,166,35,68,190,16
20,2025,86,171,38,71,197,17
21,2025,96,182,42,75,203,21
22,2025,100,189,43,82,210,22
23,2025,104,195,45,86,217,23
24,2025,108,203,46,91,225,24
25,2025,116,214,49,98,234,25
26,2025,121,221,51,101,245,26
27,2025,124,225,52,103,257,28
28,2025,128,232,53,108,267,30
29,2025,135,243,57,114,270,30
30,2025,148,258,60,119,277,33
31,2025,158,272,61,122,282,38
32,2025,164,279,63,127,293,40
33,2025,166,286,64,128,303,40
34,2025,172,299,68,129,313,41
35,2025,175,311,69,131,322,41
36,2025,179,318,70,133,328,42
37,2025,180,324,72,134,340,42
38,2025,186,335,74,135,341,45
39,2025,191,341,75,139,348,46
40,2025,192,347,76,139,358,46
41,2025,202,362,78,143,370,48
42,2025,205,370,79,144,378,50
43,2025,207,376,79,149,387,52
44,2025,216,390,82,151,402,55
45,2025,221,401,82,153,416,56
46,2025,223,407,82,156,426,57
47,2025,230,417,86,160,432,59
48,2025,234,425,88,161,437,60
49,2025,237,433,92,165,442,60
50,2025,239,438,92,168,449,62
51,2025,240,444,93,170,465,62
52,2025,259,464,99,178,472,65
53,2025,265,471,101,181,477,68
54,2025,266,476,101,182,484,69
55,2025,267,486,103,183,492,69
56,2025,269,493,104,190,499,69
57,2025,270,500,106,192,509,69
58,2025,275,509,106,197,522,71
59,2025,280,520,108,199,536,72
60,2025,280,525,108,199,550,72
61,2025,283,532,110,202,562,72
62,2025,289,543,115,205,572,73
63,2025,292,553,119,212,582,74
64,2025,303,565,120,217,588,75
65,2025,309,571,121,221,600,77
66,2025,319,585,125,226,608,78
67,2025,330,597,127,231,617,83
68,2025,338,607,131,239,629,83
69,2025,341,614,133,241,642,84
70,2025,345,623,136,241,650,88
71,2025,347,629,136,247,659,88
72,2025,351,636,141,250,664,88
73,2025,353,642,141,253,675,89
74,2025,355,646,141,256,687,90
75,2025,355,648,141,258,697,90
76,2025,358,651,141,260,704,92
77,2025,365,662,144,261,714,94
78,2025,367,668,145,264,722,94
79,2025,372,680,147,267,733,97
80,2025,377,689,148,270,743,98
81,2025,379,694,149,273,752,98
82,2025,381,697,149,275,766,98
83,2025,381,701,150,277,774,98
84,2025,396,719,156,283,781,101
85,2025,399,727,159,284,790,102
86,2025,412,741,163,290,795,106
87,2025,417,749,167,292,805,106
88,2025,421,760,172,292,811,107
89,2025,432,776,175,297,820,108
90,2025,442,787,180,298,826,109
91,2025,448,799,183,299,833,111
92,2025,457,813,186,300,843,114
93,2025,467,823,187,303,851,116
94,2025,477,838,191,306,856,120
95,2025,481,842,192,311,862,120
96,2025,486,850,195,315,866,121
97,2025,487,855,198,318,873,121
98,2025,491,863,200,319,877,122
99,2025,492,870,201,323,885,122
100,2025,492,876,202,324,895,122
101,2025,498,883,203,329,904,125
102,2025,500,891,205,331,920,126
103,2025,501,895,205,331,932,127
104,2025,510,902,209,337,948,129
105,2025,512,907,212,339,956,129
106,2025,516,917,215,342,961,129
107,2025,520,923,215,343,968,130
108,2025,524,933,217,347,978,131
109,2025,532,943,222,350,984,133
110,2025,545,959,226,353,995,137
111,2025,547,965,228,355,1002,137
112,2025,554,975,233,357,1014,140
113,2025,560,983,234,359,1019,140
114,2025,568,994,235,362,1024,141
115,2025,574,1003,237,366,1026,141
116,2025,577,1010,239,367,1033,141
117,2025,587,1020,241,375,1037,143
118,2025,591,1029,244,381,1052,143
119,2025,593,1034,244,384,1065,143
120,2025,599,1044,247,386,1073,146
121,2025,613,1057,249,394,1078,149
122,2025,614,1065,250,397,1087,149
123,2025,616,1068,251,400,1096,149
124,2025,623,1077,254,403,1101,150
125,2025,626,1084,255,405,1108,151
126,2025,629,1090,257,407,1116,151
127,2025,632,1098,257,413,1124,152
128,2025,638,1108,260,422,1129,153
129,2025,639,1114,262,426,1138,153
130,2025,651,1131,265,431,1145,155
131,2025,653,1136,266,436,1155,155
132,2025,657,1143,267,438,1166,157
133,2025,662,1152,269,439,1177,159
134,2025,665,1159,270,440,1184,161
135,2025,668,1167,271,441,1192,163
136,2025,670,1176,271,443,1201,164
137,2025,673,1184,272,446,1209,165
138,2025,678,1192,274,449,1218,166
139,2025,684,1206,276,454,1224,167
140,2025,695,1224,282,454,1235,169
141,2025,696,1231,283,456,1245,169
142,2025,701,1239,286,459,1253,169
143,2025,702,1246,287,459,1262,169
144,2025,709,1254,289,463,1268,169
145,2025,716,1266,291,464,1276,171
146,2025,722,1275,295,467,1286,173
147,2025,726,1284,300,470,1293,173
148,2025,727,1286,300,475,1303,174
149,2025,730,1296,301,477,1313,176
150,2025,736,1308,302,478,1318,177
151,2025,737,1316,303,483,1322,177
152,2025,742,1326,303,489,1330,178
153,2025,745,1333,304,490,1337,180
154,2025,756,1345,307,495,1345,182
155,2025,762,1355,307,499,1350,182
156,2025,765,1365,309,504,1364,182
157,2025,769,1374,314,507,1373,182
158,2025,776,1386,316,510,1381,184
159,2025,777,1390,317,512,1389,184
160,2025,781,1400,320,512,1398,184
161,2025,782,1407,320,512,1411,184
162,2025,786,1414,324,518,1419,186
