date,transaction,players
2026-09-06,"Red Sox placed CF Ceddanne Rafaela on the 10-day injured list retroactive to September 3, 2026. Right quadriceps strain.",['Ceddanne Rafaela']
2026-09-06,Red Sox recalled OF Nate Eaton from Worcester Red Sox.,['Nate Eaton']
2026-09-03,San Francisco Giants claimed 3B Brett Harris off waivers from Red Sox.,['Brett Harris']
2026-09-02,Red Sox recalled LHP Raymond Burgos from Worcester Red Sox.,['Raymond Burgos']
2026-09-02,Red Sox optioned RHP Jedixson Paez to Worcester Red Sox.,['Jedixson Paez']
2026-09-01,Red Sox designated 3B Brett Harris for assignment.,['Brett Harris']
2026-09-01,Red Sox activated 2B Isiah Kiner-Falefa from the 60-day injured list.,['Isiah Kiner-Falefa']
2026-09-01,Red Sox placed LHP Eduardo Rivera on the 60-day injured list. Lumbar strain.,['Eduardo Rivera']
2026-09-01,Red Sox activated RHP Jedixson Paez.,['Jedixson Paez']
2026-09-01,Red Sox placed RHP Tyron Guerrero on the 15-day injured list. Right shoulder inflammation.,['Tyron Guerrero']
2026-09-01,Red Sox recalled LHP Eduardo Rivera from Worcester Red Sox.,['Eduardo Rivera']
2026-09-01,Red Sox selected the contract of RHP Jedixson Paez from Worcester Red Sox.,['Jedixson Paez']
2026-09-01,Red Sox recalled RHP Wyatt Olds from Worcester Red Sox.,['Wyatt Olds']
2026-08-31,Red Sox placed 1B Willson Contreras on the 10-day injured list. Left hamstring strain.,['Willson Contreras']
2026-08-31,Red Sox recalled DH Mickey Gasper from Worcester Red Sox.,['Mickey Gasper']
2026-08-30,Red Sox activated SS Trevor Story from the 60-day injured list.,['Trevor Story']
2026-08-30,Red Sox activated LF Roman Anthony from the 60-day injured list.,['Roman Anthony']
2026-08-30,Red Sox optioned DH Mickey Gasper to Worcester Red Sox.,['Mickey Gasper']
2026-08-30,Red Sox optioned LHP Raymond Burgos to Worcester Red Sox.,['Raymond Burgos']
2026-08-30,Red Sox optioned 2B Anthony Seigler to Worcester Red Sox.,['Anthony Seigler']
2026-08-29,Red Sox recalled LHP Raymond Burgos from Worcester Red Sox.,['Raymond Burgos']
2026-08-29,Red Sox optioned RHP Wyatt Olds to Worcester Red Sox.,['Wyatt Olds']
2026-08-29,Red Sox activated RHP Garrett Whitlock from the 15-day injured list.,['Garrett Whitlock']
2026-08-28,Red Sox signed free agent C Tomás Nido to a minor league contract.,['Tomás Nido']
2026-08-25,Red Sox sent LF Roman Anthony on a rehab assignment to Worcester Red Sox.,['Roman Anthony']
2026-08-19,Red Sox sent 2B Isiah Kiner-Falefa on a rehab assignment to Worcester Red Sox.,['Isiah Kiner-Falefa']
2026-08-18,Red Sox sent LF Roman Anthony on a rehab assignment to Portland Sea Dogs.,['Roman Anthony']
2026-08-17,Red Sox placed LHP Eduardo Rivera on the restricted list.,['Eduardo Rivera']
2026-08-17,Red Sox optioned LHP Raymond Burgos to Worcester Red Sox.,['Raymond Burgos']
2026-08-17,Red Sox selected the contract of RHP Wyatt Olds from Worcester Red Sox.,['Wyatt Olds']
2026-08-16,"Red Sox placed RHP Justin Slaten on the 15-day injured list retroactive to August 13, 2026. Right elbow inflammation.",['Justin Slaten']
2026-08-16,Red Sox recalled C Mickey Gasper from Worcester Red Sox.,['Mickey Gasper']
2026-08-16,Red Sox recalled LHP Raymond Burgos from Worcester Red Sox.,['Raymond Burgos']
2026-08-16,Red Sox sent SS Trevor Story on a rehab assignment to Worcester Red Sox.,['Trevor Story']
2026-08-16,Red Sox placed DH Masataka Yoshida on the 10-day injured list. Left hamstring strain.,['Masataka Yoshida']
2026-08-14,Red Sox sent RHP Seth Martinez outright to Worcester Red Sox.,['Seth Martinez']
2026-08-14,Chicago White Sox claimed C Jake Rogers off waivers from Red Sox.,['Jake Rogers']
2026-08-13,"Red Sox placed RHP Garrett Whitlock on the 15-day injured list retroactive to August 10, 2026. Right elbow inflammation.",['Garrett Whitlock']
2026-08-13,Red Sox recalled RHP Greg Weissert from Worcester Red Sox.,['Greg Weissert']
2026-08-12,Red Sox signed free agent RHP Morgan McSweeney to a minor league contract.,['Morgan McSweeney']
2026-08-12,Red Sox designated RHP Seth Martinez for assignment.,['Seth Martinez']
2026-08-12,Red Sox traded CF Harold Rivas to Baltimore Orioles. Player to be named later from the 8/3 Adley Rutschman trade.,['Harold Rivas']
2026-08-12,Red Sox recalled LHP Alec Gamboa from Worcester Red Sox.,['Alec Gamboa']
2026-08-11,Red Sox designated C Jake Rogers for assignment.,['Jake Rogers']
2026-08-11,Red Sox transferred 2B Isiah Kiner-Falefa from the 10-day injured list to the 60-day injured list.,['Isiah Kiner-Falefa']
2026-08-11,Red Sox activated C Adley Rutschman from the 10-day injured list.,['Adley Rutschman']
2026-08-11,Red Sox signed free agent RHP Aaron Nixon to a minor league contract.,['Aaron Nixon']
2026-08-09,Red Sox optioned LHP Raymond Burgos to Worcester Red Sox.,['Raymond Burgos']
2026-08-09,Red Sox selected the contract of RHP Seth Martinez from Worcester Red Sox.,['Seth Martinez']
2026-08-08,Red Sox sent C Adley Rutschman on a rehab assignment to Worcester Red Sox.,['Adley Rutschman']
2026-08-07,Red Sox signed free agent RHP John Brebbia to a minor league contract.,['John Brebbia']
2026-08-07,Red Sox optioned RHP Greg Weissert to Worcester Red Sox.,['Greg Weissert']
2026-08-07,Red Sox selected the contract of LHP Raymond Burgos from Worcester Red Sox.,['Raymond Burgos']
2026-08-07,Los Angeles Angels claimed RHP Ryan Watson off waivers from Red Sox.,['Ryan Watson']
2026-08-06,Red Sox released LHP Joe La Sorsa.,['Joe La Sorsa']
2026-08-05,Red Sox signed free agent RHP Cam Padgett to a minor league contract.,['Cam Padgett']
2026-08-04,Red Sox activated RF Eli White.,['Eli White']
2026-08-04,Red Sox optioned DH Romy Gonzalez to Worcester Red Sox.,['Romy Gonzalez']
2026-08-04,Red Sox activated C Jake Rogers.,['Jake Rogers']
2026-08-04,Red Sox designated RHP Ryan Watson for assignment.,['Ryan Watson']
2026-08-04,Red Sox activated LHP Erik Miller.,['Erik Miller']
2026-08-03,Red Sox placed C Adley Rutschman on the 10-day injured list. Left wrist inflammation.,['Adley Rutschman']
2026-08-03,Atlanta Braves traded RF Eli White to Red Sox for RHP Tyler Uberstine.,"['Eli White', 'Tyler Uberstine']"
2026-08-03,"Baltimore Orioles traded C Adley Rutschman, C Jake Rogers and cash to Red Sox for RHP Kyson Witherspoon, CF Enddy Azocar, C Carlos Narváez, RHP Anthony Eyanson and Player To Be Named Later.","['Adley Rutschman', 'Jake Rogers', 'Kyson Witherspoon', 'Enddy Azocar', 'Carlos Narváez', 'Anthony Eyanson']"
2026-08-03,Red Sox traded 2B Marcelo Mayer to San Francisco Giants for LHP Erik Miller and CF Carlos Gutierrez.,"['Marcelo Mayer', 'Erik Miller', 'Carlos Gutierrez']"
2026-08-01,Red Sox traded LHP Jojo Ingrassia to Detroit Tigers.,['Jojo Ingrassia']
2026-07-29,Red Sox activated 2B Nick Sogard.,['Nick Sogard']
