gm,game_date,home_away,opp,result,r,ra,record,rank,gb,time,time_minutes,day_night,attendance,year,wins,losses,win_pct,game_day
132,2026-08-25,away,MIA,W,7,3,73-59,3,-5.0,3:26:00,206.0,N,16821,2026,73,59,0.55,Tuesday
131,2026-08-24,boxscore,MIA,W,4,2,72-59,3,-6.0,3:05:00,185.0,N,16247,2026,72,59,0.55,Monday
130,2026-08-23,home,SFG,W,5,4,71-59,3,-6.0,2:35:00,155.0,D,36278,2026,71,59,0.55,Sunday
129,2026-08-22,home,SFG,W,3,2,70-59,3,-6.0,3:10:00,190.0,N,36478,2026,70,59,0.54,Saturday
128,2026-08-21,boxscore,SFG,W,6,4,69-59,3,-7.0,2:46:00,166.0,N,37007,2026,69,59,0.54,Friday
127,2026-08-19,boxscore,ARI,L,6,7,68-59,3,-8.5,3:20:00,200.0,D,36540,2026,68,59,0.54,Wednesday
126,2026-08-18,boxscore,ARI,W,9,4,68-58,3,-7.5,2:53:00,173.0,N,36592,2026,68,58,0.54,Tuesday
125,2026-08-17,boxscore,ARI,W,11,1,67-58,3,-8.5,2:47:00,167.0,N,36511,2026,67,58,0.54,Monday
124,2026-08-16,boxscore,PIT,L,3,8,66-58,3,-8.5,2:34:00,154.0,D,25575,2026,66,58,0.53,Sunday
123,2026-08-15,away,PIT,W,4,0,66-57,3,-8.5,2:42:00,162.0,N,38408,2026,66,57,0.54,Saturday
122,2026-08-14,away,PIT,L,4,8,65-57,3,-9.5,2:49:00,169.0,N,32036,2026,65,57,0.53,Friday
121,2026-08-13,away,TOR,W,7,0,65-56,3,-9.5,2:25:00,145.0,D,43442,2026,65,56,0.54,Thursday
120,2026-08-12,boxscore,TOR,L,4,6,64-56,3,-10.0,2:41:00,161.0,N,42888,2026,64,56,0.53,Wednesday
119,2026-08-11,boxscore,TOR,L,3,5,64-55,3,-9.0,2:41:00,161.0,N,42419,2026,64,55,0.54,Tuesday
118,2026-08-10,away,TOR,L,1,2,64-54,3,-8.0,2:48:00,168.0,N,42511,2026,64,54,0.54,Monday
117,2026-08-09,home,ATH,L,3,4,64-53,3,-7.0,2:38:00,158.0,D,36817,2026,64,53,0.55,Sunday
116,2026-08-08,home,ATH,L,3,7,64-52,3,-6.0,2:52:00,172.0,D,36696,2026,64,52,0.55,Saturday
