year,gm,win_pct,gb
2026,40,0.42,-9.5
2026,39,0.44,-9.0
2026,38,0.42,-10.0
2026,37,0.43,-9.0
2026,36,0.42,-10.0
2026,35,0.4,-10.0
2026,34,0.38,-10.0
2026,33,0.39,-9.0
2026,32,0.41,-8.0
2026,31,0.39,-8.0
2026,30,0.4,-8.0
2026,29,0.41,-7.0
2026,28,0.39,-7.0
2026,27,0.37,-8.0
2026,26,0.35,-8.0
2026,25,0.36,-7.0
2026,24,0.38,-6.0
2026,23,0.39,-5.0
2026,22,0.41,-4.0
2026,21,0.38,-4.5
2026,20,0.4,-4.0
2026,19,0.42,-3.0
2026,18,0.39,-3.5
2026,17,0.35,-3.5
2026,16,0.38,-3.0
2026,15,0.4,-2.0
2026,14,0.36,-3.0
2026,13,0.31,-4.0
2026,12,0.33,-4.5
2026,11,0.27,-5.5
2026,10,0.2,-5.5
2026,9,0.22,-5.0
2026,8,0.25,-5.0
2026,7,0.29,-4.0
2026,6,0.17,-4.0
2026,5,0.2,-3.0
2026,4,0.25,-2.0
2026,3,0.33,-2.0
2026,2,0.5,-1.5
2026,1,1.0,0.0
2025,162,0.55,-5.0
2025,161,0.55,-5.0
2025,160,0.55,-4.0
2025,159,0.55,-4.0
2025,158,0.55,-3.0
2025,157,0.55,-4.0
2025,156,0.54,-5.0
2025,155,0.55,-4.0
2025,154,0.55,-5.0
2025,153,0.54,-6.0
2025,152,0.55,-6.0
2025,151,0.54,-7.0
2025,150,0.55,-5.5
2025,149,0.54,-5.5
2025,148,0.55,-4.5
2025,147,0.55,-3.0
2025,146,0.55,-3.0
2025,145,0.55,-3.0
2025,144,0.55,-3.5
2025,143,0.55,-4.5
2025,142,0.55,-4.5
2025,141,0.55,-3.5
2025,140,0.56,-2.5
2025,139,0.55,-2.5
2025,138,0.55,-3.5
2025,137,0.55,-3.5
2025,136,0.55,-3.5
2025,135,0.56,-3.5
2025,134,0.55,-4.0
2025,133,0.55,-4.0
2025,132,0.55,-5.0
2025,131,0.54,-5.0
2025,130,0.55,-5.0
2025,129,0.54,-5.0
2025,128,0.54,-5.0
2025,127,0.54,-6.0
2025,126,0.54,-5.0
2025,125,0.54,-5.0
2025,124,0.55,-5.0
2025,123,0.54,-5.0
2025,122,0.54,-4.5
2025,121,0.55,-4.5
2025,120,0.54,-4.5
2025,119,0.55,-4.0
2025,118,0.55,-3.0
2025,117,0.56,-3.0
2025,116,0.55,-4.0
2025,115,0.56,-3.0
2025,114,0.55,-3.0
2025,113,0.55,-3.0
2025,112,0.54,-4.0
2025,111,0.54,-4.0
2025,110,0.54,-5.0
2025,109,0.53,-5.0
2025,108,0.53,-6.5
2025,107,0.53,-6.5
2025,106,0.53,-7.5
2025,105,0.52,-7.5
2025,104,0.53,-6.0
2025,103,0.52,-6.0
2025,102,0.53,-6.0
2025,101,0.53,-5.0
2025,100,0.53,-5.0
2025,99,0.54,-4.0
2025,98,0.54,-3.0
2025,97,0.54,-4.0
2025,96,0.53,-5.0
2025,95,0.53,-5.0
2025,94,0.52,-5.5
2025,93,0.52,-6.5
2025,92,0.51,-6.5
2025,91,0.51,-6.5
2025,90,0.5,-6.5
2025,89,0.49,-6.5
2025,88,0.49,-6.0
2025,87,0.49,-6.0
2025,86,0.49,-7.0
2025,85,0.48,-8.0
2025,84,0.49,-7.0
2025,83,0.48,-8.0
2025,82,0.49,-7.0
2025,81,0.49,-6.0
2025,80,0.5,-6.0
2025,79,0.51,-6.0
2025,78,0.51,-5.0
2025,77,0.52,-4.0
2025,76,0.51,-4.5
2025,75,0.51,-5.5
2025,74,0.51,-5.5
2025,73,0.51,-6.5
2025,72,0.5,-7.5
2025,71,0.49,-8.5
2025,70,0.49,-9.0
2025,69,0.48,-9.0
2025,68,0.47,-9.0
2025,67,0.48,-8.5
2025,66,0.47,-9.5
2025,65,0.46,-10.5
2025,64,0.47,-9.0
2025,63,0.46,-10.0
2025,62,0.47,-9.0
2025,61,0.48,-8.5
2025,60,0.47,-8.5
2025,59,0.47,-8.5
2025,58,0.47,-9.5
2025,57,0.47,-8.5
2025,56,0.48,-7.5
2025,55,0.49,-6.5
2025,54,0.5,-5.5
2025,53,0.51,-5.5
2025,52,0.5,-5.0
2025,51,0.49,-5.5
2025,50,0.5,-4.5
2025,49,0.49,-4.5
2025,48,0.48,-5.0
2025,47,0.49,-4.0
2025,46,0.48,-5.0
2025,45,0.49,-4.0
2025,44,0.5,-3.0
2025,43,0.51,-3.0
2025,42,0.52,-2.0
2025,41,0.51,-2.0
2025,40,0.5,-3.0
2025,39,0.51,-2.0
2025,38,0.5,-2.5
2025,37,0.49,-2.5
2025,36,0.5,-2.0
2025,35,0.51,-2.0
2025,34,0.53,-2.0
2025,33,0.52,-2.0
2025,32,0.53,-1.5
2025,31,0.55,-1.5
2025,30,0.53,-2.0
2025,29,0.52,-1.5
2025,28,0.5,-1.5
2025,27,0.52,-2.0
2025,26,0.54,-1.5
2025,25,0.56,-0.5
2025,24,0.54,-1.5
2025,23,0.52,-2.5
2025,22,0.55,-1.5
2025,21,0.52,-2.5
2025,20,0.5,-2.0
2025,19,0.47,-2.0
2025,18,0.44,-2.0
2025,17,0.47,-1.5
2025,16,0.44,-2.0
2025,15,0.47,-1.5
2025,14,0.5,-1.0
2025,13,0.46,-2.0
2025,12,0.5,-1.0
2025,11,0.55,-0.5
2025,10,0.6,-0.5
2025,9,0.56,-0.5
2025,8,0.5,-1.5
2025,7,0.43,-2.0
2025,6,0.33,-2.5
2025,5,0.2,-3.0
2025,4,0.25,-2.5
2025,3,0.33,-1.5
2025,2,0.5,-0.5
2025,1,1.0,0.0
2024,162,0.5,-13.0
2024,161,0.5,-13.0
2024,160,0.5,-13.0
2024,159,0.5,-12.5
2024,158,0.51,-12.5
2024,157,0.5,-13.5
2024,156,0.5,-14.0
2024,155,0.5,-14.0
2024,154,0.49,-14.0
2024,153,0.5,-13.0
2024,152,0.5,-13.0
2024,151,0.5,-13.0
2024,150,0.5,-12.0
2024,149,0.5,-11.0
2024,148,0.5,-12.0
2024,147,0.5,-11.0
2024,146,0.51,-10.0
2024,145,0.5,-10.0
