stat_label,stat,value,category,context_value,context_value_label
Wins,wins,44,standings,47,This point last season
Losses,losses,48,standings,45,This point last season
Record,record,44-48,standings,47-45,This point last season
Win percentage,win_pct,48%,standings,51%,This point last season
Games up/back,games_up_back,11,standings,3rd,Division rank
Avg. home attendance,mean_attendance,"33,984",standings,23,Home games this season
Runs,runs,378,standings,27th,League rank
Runs against,runs_against,356,standings,418,This point last season
Run differential,run_differential,22,standings,39,This point last season
Batting average,batting_average,.245,batting,.263,Last decade average
Home runs,home_runs,83,batting,29th,League rank
Home runs/game,home_runs_game,0.9,batting,1.22,Last decade average
On-base percentage,on_base_pct,.315,batting,.330,Last decade average
Stolen bases,stolen_bases,72,batting,11th,League rank
BA w/ RISP,batting_avg_risp,.240,batting,.251,League average
Strikeouts,strikeouts,780,pitching,18th,League rank
Walks,walks,265,pitching,26th,League rank
ERA,era,3.65,pitching,5th,League rank
K/BB ratio,k_bb_ratio,2.94,pitching,2.51,League average
HR/9,hr9,1.1,pitching,1.18,League average
BABIP,babip,.282,pitching,.300,League norm
Last updated,update_time,"July 11, 2026, 7:31 PM ET",summary,,
Team summary,summary,"<span class='highlight'>BOSTON</span> <span class='updated'>(July 11)</span> — The Red Sox have compiled a <span class='highlight'>45-48</span> record in the 2026 regular season, a <span class='highlight'>48%</span> winning percentage.  The last game was a <span class='highlight'>4-0</span> away <span class='highlight'>win</span>. and the next game is Sunday at 1:40 p.m. ET at <span class='highlight'>Citi Field</span>.",summary,,
Last game result,last_game_result,win,summary,,
